Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	38543833.00	001380726037013XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	38543833.00	001380726037013XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32826900.40	323880224085061XXX055XXX211	REGULAR	REGULAR	START	START	1	32826900.40	323880224085061XXX055XXX211	REGULAR	REGULAR	START	START	1
1	FALSE	34004826.00	410140976061085072XXXXXX091	REGULAR	REGULAR	START	START	1	34004826.00	410140976061085072XXXXXX091	REGULAR	REGULAR	START	START	1
1	FALSE	32659501.40	232640474011037XXXXXX173330	REGULAR	REGULAR	START	START	1	32659501.40	232640474011037XXXXXX173330	REGULAR	REGULAR	START	START	1
1	FALSE	33790037.80	020760600049049XXXXXXXXX151	REGULAR	REGULAR	START	START	1	33790037.80	020760600049049XXXXXXXXX151	REGULAR	REGULAR	START	START	1
1	FALSE	63406659.60	203260100099097XXXXXX267XXX	REGULAR	REGULAR	START	START	1	63406659.60	203260100099097XXXXXX267XXX	REGULAR	REGULAR	START	START	1
1	FALSE	32860212.20	432020850073073010XXXXXX490	REGULAR	REGULAR	START	START	1	32860212.20	432020850073073010XXXXXX490	REGULAR	REGULAR	START	START	1
1	FALSE	32903553.80	114500350025025XXXXXXXXX271	REGULAR	REGULAR	START	START	1	32903553.80	114500350025025XXXXXXXXX271	REGULAR	REGULAR	START	START	1
1	FALSE	33626871.60	311700412043067XXX085XXX471	REGULAR	REGULAR	START	START	1	33626871.60	311700412043067XXX085XXX471	REGULAR	REGULAR	START	START	1
1	FALSE	32777486.80	034200914093019XXXXXXXXX250	REGULAR	REGULAR	START	START	1	32777486.80	034200914093019XXXXXXXXX250	REGULAR	REGULAR	START	START	1
1	FALSE	33383965.40	422940664017091042XXXXXX351	REGULAR	REGULAR	START	START	1	33383965.40	422940664017091042XXXXXX351	REGULAR	REGULAR	START	START	1
1	FALSE	47752188.40	100440164067043XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	47752188.40	100440164067043XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33100720.60	231080288031079XXXXXX033070	REGULAR	REGULAR	START	START	1	33100720.60	231080288031079XXXXXX033070	REGULAR	REGULAR	START	START	1
1	FALSE	33389689.00	013580788079031XXXXXXXXX291	REGULAR	REGULAR	START	START	1	33389689.00	013580788079031XXXXXXXXX291	REGULAR	REGULAR	START	START	1
