Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	32914900.60	332160780091029XXX015XXX380	REGULAR	REGULAR	START	START	1	32914900.60	332160780091029XXX015XXX380	REGULAR	REGULAR	START	START	1
1	FALSE	33284718.60	014660280041077XXXXXXXXX151	REGULAR	REGULAR	START	START	1	33284718.60	014660280041077XXXXXXXXX151	REGULAR	REGULAR	START	START	1
1	FALSE	33499669.20	120900530017053XXXXXXXXX261	REGULAR	REGULAR	START	START	1	33499669.20	120900530017053XXXXXXXXX261	REGULAR	REGULAR	START	START	1
1	FALSE	63178253.40	403400030067005019XXXXXXXXX	REGULAR	REGULAR	START	START	1	63178253.40	403400030067005019XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	38341374.00	201520654005089XXXXXX587XXX	REGULAR	REGULAR	START	START	1	38341374.00	201520654005089XXXXXX587XXX	REGULAR	REGULAR	START	START	1
1	FALSE	32662540.40	424020154053041056XXXXXX091	REGULAR	REGULAR	START	START	1	32662540.40	424020154053041056XXXXXX091	REGULAR	REGULAR	START	START	1
1	FALSE	32642548.33	132780404027065XXXXXXXXX440	REGULAR	REGULAR	START	START	1	32642548.33	132780404027065XXXXXXXXX440	REGULAR	REGULAR	START	START	1
1	FALSE	34218458.00	310280904079017XXX052XXX211	REGULAR	REGULAR	START	START	1	34218458.00	310280904079017XXX052XXX211	REGULAR	REGULAR	START	START	1
1	FALSE	33169060.60	323100718047011XXX084XXX471	REGULAR	REGULAR	START	START	1	33169060.60	323100718047011XXX084XXX471	REGULAR	REGULAR	START	START	1
1	FALSE	47537416.40	000600218097059XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	47537416.40	000600218097059XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32636302.40	234340968073083XXXXXX447120	REGULAR	REGULAR	START	START	1	32636302.40	234340968073083XXXXXX447120	REGULAR	REGULAR	START	START	1
1	FALSE	32652751.20	411840466023035026XXXXXX351	REGULAR	REGULAR	START	START	1	32652751.20	411840466023035026XXXXXX351	REGULAR	REGULAR	START	START	1
1	FALSE	32916041.20	022460092085095XXXXXXXXX291	REGULAR	REGULAR	START	START	1	32916041.20	022460092085095XXXXXXXXX291	REGULAR	REGULAR	START	START	1
1	FALSE	41793790.40	204960592035047XXXXXX728XXX	REGULAR	REGULAR	START	START	1	41793790.40	204960592035047XXXXXX728XXX	REGULAR	REGULAR	START	START	1
1	FALSE	33021734.80	331220342011023XXX021XXX180	REGULAR	REGULAR	START	START	1	33021734.80	331220342011023XXX021XXX180	REGULAR	REGULAR	START	START	1
1	FALSE	33175670.60	113720842059071XXXXXXXXX411	REGULAR	REGULAR	START	START	1	33175670.60	113720842059071XXXXXXXXX411	REGULAR	REGULAR	START	START	1
1	FALSE	33186470.20	212620248006057XXXXXX376110	REGULAR	REGULAR	START	START	1	33186470.20	212620248006057XXXXXX376110	REGULAR	REGULAR	START	START	1
1	FALSE	33286570.40	030120748055009XXXXXXXXX341	REGULAR	REGULAR	START	START	1	33286570.40	030120748055009XXXXXXXXX341	REGULAR	REGULAR	START	START	1
1	FALSE	41473763.20	103880498081033XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	41473763.20	103880498081033XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33264238.80	421380998033081041XXXXXX220	REGULAR	REGULAR	START	START	1	33264238.80	421380998033081041XXXXXX220	REGULAR	REGULAR	START	START	1
1	FALSE	33890074.00	223240374093021XXXXXX658050	REGULAR	REGULAR	START	START	1	33890074.00	223240374093021XXXXXX658050	REGULAR	REGULAR	START	START	1
1	FALSE	38042378.20	400740874045069079XXXXXXXXX	REGULAR	REGULAR	START	START	1	38042378.20	400740874045069079XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33537224.40	012000624069045XXXXXXXXX160	REGULAR	REGULAR	START	START	1	33537224.40	012000624069045XXXXXXXXX160	REGULAR	REGULAR	START	START	1
1	FALSE	32615584.40	334500124019093XXX006XXX391	REGULAR	REGULAR	START	START	1	32615584.40	334500124019093XXX006XXX391	REGULAR	REGULAR	START	START	1
1	FALSE	33089491.20	111060060025015XXXXXXXXX370	REGULAR	REGULAR	START	START	1	33089491.20	111060060025015XXXXXXXXX370	REGULAR	REGULAR	START	START	1
1	FALSE	32536828.67	433560560075063010XXXXXX141	ELITE	ELITE	START	START	1	32536828.67	433560560075063010XXXXXX141	ELITE	ELITE	START	START	1
1	FALSE	33206659.60	024820810001039XXXXXXXXX480	REGULAR	REGULAR	START	START	1	33206659.60	024820810001039XXXXXXXXX480	REGULAR	REGULAR	START	START	1
1	FALSE	38069504.40	302300310051087XXX037XXXXXX	REGULAR	REGULAR	START	START	1	38069504.40	302300310051087XXX037XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33077623.20	314180686087099XXX074XXX420	REGULAR	REGULAR	START	START	1	33077623.20	314180686087099XXX074XXX420	REGULAR	REGULAR	START	START	1
1	FALSE	32566821.17	131680186039051XXXXXXXXX191	REGULAR	REGULAR	START	START	1	32566821.17	131680186039051XXXXXXXXX191	REGULAR	REGULAR	START	START	1
1	FALSE	33603085.00	220440436063075XXXXXX611310	REGULAR	REGULAR	START	START	1	33603085.00	220440436063075XXXXXX611310	REGULAR	REGULAR	START	START	1
