Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	32914900.60	332160780089029XXX013XXX370	REGULAR	REGULAR	START	START	1	32914900.60	332160780089029XXX013XXX370	REGULAR	REGULAR	START	START	1
1	FALSE	33284718.60	014630280041077XXXXXXXXX131	REGULAR	REGULAR	START	START	1	33284718.60	014630280041077XXXXXXXXX131	REGULAR	REGULAR	START	START	1
1	FALSE	33499669.20	120880528017053XXXXXXXXX251	REGULAR	REGULAR	START	START	1	33499669.20	120880528017053XXXXXXXXX251	REGULAR	REGULAR	START	START	1
1	FALSE	63178253.40	403400028065005016XXXXXXXXX	REGULAR	REGULAR	START	START	1	63178253.40	403400028065005016XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	38341374.00	201520652005089XXXXXX585XXX	REGULAR	REGULAR	START	START	1	38341374.00	201520652005089XXXXXX585XXX	REGULAR	REGULAR	START	START	1
1	FALSE	32662540.40	424000152053041056XXXXXX091	REGULAR	REGULAR	START	START	1	32662540.40	424000152053041056XXXXXX091	REGULAR	REGULAR	START	START	1
1	FALSE	32642548.33	132760404025065XXXXXXXXX410	REGULAR	REGULAR	START	START	1	32642548.33	132760404025065XXXXXXXXX410	REGULAR	REGULAR	START	START	1
1	FALSE	34218458.00	310280904077017XXX049XXX211	REGULAR	REGULAR	START	START	1	34218458.00	310280904077017XXX049XXX211	REGULAR	REGULAR	START	START	1
1	FALSE	33169060.60	323080716045009XXX081XXX451	REGULAR	REGULAR	START	START	1	33169060.60	323080716045009XXX081XXX451	REGULAR	REGULAR	START	START	1
1	FALSE	47537416.40	000600216097057XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	47537416.40	000600216097057XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32636302.40	234320968073081XXXXXX445090	REGULAR	REGULAR	START	START	1	32636302.40	234320968073081XXXXXX445090	REGULAR	REGULAR	START	START	1
1	FALSE	32652751.20	411840463021033024XXXXXX331	REGULAR	REGULAR	START	START	1	32652751.20	411840463021033024XXXXXX331	REGULAR	REGULAR	START	START	1
1	FALSE	32916041.20	022440092085093XXXXXXXXX291	REGULAR	REGULAR	START	START	1	32916041.20	022440092085093XXXXXXXXX291	REGULAR	REGULAR	START	START	1
1	FALSE	41793790.40	204960592033045XXXXXX725XXX	REGULAR	REGULAR	START	START	1	41793790.40	204960592033045XXXXXX725XXX	REGULAR	REGULAR	START	START	1
