Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	32914900.60	332160780089029XXX015XXX380	REGULAR	REGULAR	START	START	1	32914900.60	332160780089029XXX015XXX380	REGULAR	REGULAR	START	START	1
1	FALSE	33284718.60	014630280041077XXXXXXXXX151	REGULAR	REGULAR	START	START	1	33284718.60	014630280041077XXXXXXXXX151	REGULAR	REGULAR	START	START	1
1	FALSE	33499669.20	120880528017053XXXXXXXXX261	REGULAR	REGULAR	START	START	1	33499669.20	120880528017053XXXXXXXXX261	REGULAR	REGULAR	START	START	1
1	FALSE	63186475.80	403400028065005019XXXXXXXXX	REGULAR	REGULAR	START	START	1	63186475.80	403400028065005019XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	38428700.80	201520652005089XXXXXX587XXX	REGULAR	REGULAR	START	START	1	38428700.80	201520652005089XXXXXX587XXX	REGULAR	REGULAR	START	START	1
1	FALSE	32662685.60	424000152053041056XXXXXX091	REGULAR	REGULAR	START	START	1	32662685.60	424000152053041056XXXXXX091	REGULAR	REGULAR	START	START	1
1	FALSE	32590480.80	132760404025065XXXXXXXXX440	REGULAR	REGULAR	START	START	1	32590480.80	132760404025065XXXXXXXXX440	REGULAR	REGULAR	START	START	1
1	FALSE	34218458.00	310280904077017XXX052XXX211	REGULAR	REGULAR	START	START	1	34218458.00	310280904077017XXX052XXX211	REGULAR	REGULAR	START	START	1
1	FALSE	33169060.60	323080716045009XXX084XXX471	REGULAR	REGULAR	START	START	1	33169060.60	323080716045009XXX084XXX471	REGULAR	REGULAR	START	START	1
1	FALSE	47537416.40	000600216097057XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	47537416.40	000600216097057XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32636712.00	234320968073081XXXXXX447120	REGULAR	REGULAR	START	START	1	32636712.00	234320968073081XXXXXX447120	REGULAR	REGULAR	START	START	1
1	FALSE	32652744.00	411840463021033026XXXXXX351	REGULAR	REGULAR	START	START	1	32652744.00	411840463021033026XXXXXX351	REGULAR	REGULAR	START	START	1
1	FALSE	32916058.60	022440092085093XXXXXXXXX291	REGULAR	REGULAR	START	START	1	32916058.60	022440092085093XXXXXXXXX291	REGULAR	REGULAR	START	START	1
1	FALSE	41839280.20	204960592033045XXXXXX728XXX	REGULAR	REGULAR	START	START	1	41839280.20	204960592033045XXXXXX728XXX	REGULAR	REGULAR	START	START	1
1	FALSE	33021734.80	331200340009021XXX021XXX180	REGULAR	REGULAR	START	START	1	33021734.80	331200340009021XXX021XXX180	REGULAR	REGULAR	START	START	1
1	FALSE	33175670.60	113720840057069XXXXXXXXX411	REGULAR	REGULAR	START	START	1	33175670.60	113720840057069XXXXXXXXX411	REGULAR	REGULAR	START	START	1
1	FALSE	33193569.60	212600248005057XXXXXX376110	REGULAR	REGULAR	START	START	1	33193569.60	212600248005057XXXXXX376110	REGULAR	REGULAR	START	START	1
1	FALSE	33286570.40	030120748053009XXXXXXXXX341	REGULAR	REGULAR	START	START	1	33286570.40	030120748053009XXXXXXXXX341	REGULAR	REGULAR	START	START	1
1	FALSE	41458105.20	103880496081033XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	41458105.20	103880496081033XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33264238.80	421360996033081041XXXXXX220	REGULAR	REGULAR	START	START	1	33264238.80	421360996033081041XXXXXX220	REGULAR	REGULAR	START	START	1
1	FALSE	33890074.00	223240372093021XXXXXX658050	REGULAR	REGULAR	START	START	1	33890074.00	223240372093021XXXXXX658050	REGULAR	REGULAR	START	START	1
1	FALSE	38042378.20	400720872045069079XXXXXXXXX	REGULAR	REGULAR	START	START	1	38042378.20	400720872045069079XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33537224.40	012000624069045XXXXXXXXX160	REGULAR	REGULAR	START	START	1	33537224.40	012000624069045XXXXXXXXX160	REGULAR	REGULAR	START	START	1
1	FALSE	32617896.60	334480124017093XXX006XXX391	REGULAR	REGULAR	START	START	1	32617896.60	334480124017093XXX006XXX391	REGULAR	REGULAR	START	START	1
1	FALSE	33158453.60	111040060025013XXXXXXXXX370	REGULAR	REGULAR	START	START	1	33158453.60	111040060025013XXXXXXXXX370	REGULAR	REGULAR	START	START	1
1	FALSE	32525479.28	433560560073061010XXXXXX141	ELITE	ELITE	START	START	1	32525479.28	433560560073061010XXXXXX141	ELITE	ELITE	START	START	1
1	FALSE	33211019.40	024800808001037XXXXXXXXX480	REGULAR	REGULAR	START	START	1	33211019.40	024800808001037XXXXXXXXX480	REGULAR	REGULAR	START	START	1
1	FALSE	38069504.40	302280308049085XXX037XXXXXX	REGULAR	REGULAR	START	START	1	38069504.40	302280308049085XXX037XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33093480.40	314160684085097XXX074XXX420	REGULAR	REGULAR	START	START	1	33093480.40	314160684085097XXX074XXX420	REGULAR	REGULAR	START	START	1
1	FALSE	32569939.17	131680184037049XXXXXXXXX191	REGULAR	REGULAR	START	START	1	32569939.17	131680184037049XXXXXXXXX191	REGULAR	REGULAR	START	START	1
1	FALSE	33603085.00	220440436061073XXXXXX611310	REGULAR	REGULAR	START	START	1	33603085.00	220440436061073XXXXXX611310	REGULAR	REGULAR	START	START	1
1	FALSE	38081714.80	002920932013025XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	38081714.80	002920932013025XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	46541977.80	401920140077013046XXXXXXXXX	REGULAR	REGULAR	START	START	1	46541977.80	401920140077013046XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32724343.60	124400640025061XXXXXXXXX211	REGULAR	REGULAR	START	START	1	32724343.60	124400640025061XXXXXXXXX211	REGULAR	REGULAR	START	START	1
1	FALSE	32588707.50	233160888053037XXXXXX130330	REGULAR	REGULAR	START	START	1	32588707.50	233160888053037XXXXXX130330	REGULAR	REGULAR	START	START	1
1	FALSE	34395825.00	010640388001085XXXXXXXXX101	REGULAR	REGULAR	START	START	1	34395825.00	010640388001085XXXXXXXXX101	REGULAR	REGULAR	START	START	1
1	FALSE	33079670.80	031280264013073XXXXXXXXX500	REGULAR	REGULAR	START	START	1	33079670.80	031280264013073XXXXXXXXX500	REGULAR	REGULAR	START	START	1
1	FALSE	33237337.00	313800764065025XXX095XXX271	REGULAR	REGULAR	START	START	1	33237337.00	313800764065025XXX095XXX271	REGULAR	REGULAR	START	START	1
1	FALSE	34164650.60	420040012089049084XXXXXX161	REGULAR	REGULAR	START	START	1	34164650.60	420040012089049084XXXXXX161	REGULAR	REGULAR	START	START	1
