Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	32914900.60	33210078009102500XXX011XXX350	REGULAR	REGULAR	START	START	1	32914900.60	33210078009102500XXX011XXX350	REGULAR	REGULAR	START	START	1
1	FALSE	33284718.60	01460027004107500XXXXXXXXX151	REGULAR	REGULAR	START	START	1	33284718.60	01460027004107500XXXXXXXXX151	REGULAR	REGULAR	START	START	1
1	FALSE	33499669.20	12090052001104500XXXXXXXXX251	REGULAR	REGULAR	START	START	1	33499669.20	12090052001104500XXXXXXXXX251	REGULAR	REGULAR	START	START	1
1	FALSE	63186475.80	40340002006100500010XXXXXXXXX	REGULAR	REGULAR	START	START	1	63186475.80	40340002006100500010XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	38428700.80	20150065000108500XXXXXX501XXX	REGULAR	REGULAR	START	START	1	38428700.80	20150065000108500XXXXXX501XXX	REGULAR	REGULAR	START	START	1
1	FALSE	32662685.60	42400015005103500050XXXXXX051	REGULAR	REGULAR	START	START	1	32662685.60	42400015005103500050XXXXXX051	REGULAR	REGULAR	START	START	1
1	FALSE	32590480.80	13270040002106500XXXXXXXXX400	REGULAR	REGULAR	START	START	1	32590480.80	13270040002106500XXXXXXXXX400	REGULAR	REGULAR	START	START	1
1	FALSE	34218458.00	31020090007101500XXX051XXX201	REGULAR	REGULAR	START	START	1	34218458.00	31020090007101500XXX051XXX201	REGULAR	REGULAR	START	START	1
1	FALSE	33169060.60	32310071004100500XXX081XXX451	REGULAR	REGULAR	START	START	1	33169060.60	32310071004100500XXX081XXX451	REGULAR	REGULAR	START	START	1
1	FALSE	47537416.40	00050021009105500XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	47537416.40	00050021009105500XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32636712.00	23430096007107500XXXXXX401100	REGULAR	REGULAR	START	START	1	32636712.00	23430096007107500XXXXXX401100	REGULAR	REGULAR	START	START	1
1	FALSE	32652744.00	41180046002103500020XXXXXX351	REGULAR	REGULAR	START	START	1	32652744.00	41180046002103500020XXXXXX351	REGULAR	REGULAR	START	START	1
1	FALSE	32916058.60	02240009008109500XXXXXXXXX251	REGULAR	REGULAR	START	START	1	32916058.60	02240009008109500XXXXXXXXX251	REGULAR	REGULAR	START	START	1
1	FALSE	41839280.20	20490059003104500XXXXXX701XXX	REGULAR	REGULAR	START	START	1	41839280.20	20490059003104500XXXXXX701XXX	REGULAR	REGULAR	START	START	1
1	FALSE	33021734.80	33120034001101500XXX021XXX150	REGULAR	REGULAR	START	START	1	33021734.80	33120034001101500XXX021XXX150	REGULAR	REGULAR	START	START	1
1	FALSE	33175670.60	11370084005106500XXXXXXXXX401	REGULAR	REGULAR	START	START	1	33175670.60	11370084005106500XXXXXXXXX401	REGULAR	REGULAR	START	START	1
1	FALSE	33193569.60	21260024000105500XXXXXX301100	REGULAR	REGULAR	START	START	1	33193569.60	21260024000105500XXXXXX301100	REGULAR	REGULAR	START	START	1
1	FALSE	33286570.40	03010074005100500XXXXXXXXX301	REGULAR	REGULAR	START	START	1	33286570.40	03010074005100500XXXXXXXXX301	REGULAR	REGULAR	START	START	1
1	FALSE	41458105.20	10380049008102500XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	41458105.20	10380049008102500XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33264238.80	42130099003107500040XXXXXX200	REGULAR	REGULAR	START	START	1	33264238.80	42130099003107500040XXXXXX200	REGULAR	REGULAR	START	START	1
1	FALSE	33890074.00	22320037009101500XXXXXX601050	REGULAR	REGULAR	START	START	1	33890074.00	22320037009101500XXXXXX601050	REGULAR	REGULAR	START	START	1
1	FALSE	38042378.20	40070087004106500070XXXXXXXXX	REGULAR	REGULAR	START	START	1	38042378.20	40070087004106500070XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33537224.40	01200062006104500XXXXXXXXX150	REGULAR	REGULAR	START	START	1	33537224.40	01200062006104500XXXXXXXXX150	REGULAR	REGULAR	START	START	1
1	FALSE	32617896.60	33450012001108500XXX001XXX351	REGULAR	REGULAR	START	START	1	32617896.60	33450012001108500XXX001XXX351	REGULAR	REGULAR	START	START	1
1	FALSE	33158453.60	11100006002101500XXXXXXXXX350	REGULAR	REGULAR	START	START	1	33158453.60	11100006002101500XXXXXXXXX350	REGULAR	REGULAR	START	START	1
1	FALSE	32525479.28	43350056007105500010XXXXXX101	ELITE	ELITE	STANDARD	START	1	32525479.28	43350056007105500010XXXXXX101	ELITE	ELITE	STANDARD	START	1
1	FALSE	33211019.40	02480081000103500XXXXXXXXX450	REGULAR	REGULAR	START	START	1	33211019.40	02480081000103500XXXXXXXXX450	REGULAR	REGULAR	START	START	1
1	FALSE	38069504.40	30230031005108500XXX031XXXXXX	REGULAR	REGULAR	START	START	1	38069504.40	30230031005108500XXX031XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	33093480.40	31410068008109500XXX071XXX400	REGULAR	REGULAR	START	START	1	33093480.40	31410068008109500XXX071XXX400	REGULAR	REGULAR	START	START	1
1	FALSE	32569939.17	13160018003104500XXXXXXXXX151	REGULAR	REGULAR	START	START	1	32569939.17	13160018003104500XXXXXXXXX151	REGULAR	REGULAR	START	START	1
1	FALSE	33603085.00	22040043006107500XXXXXX601300	REGULAR	REGULAR	START	START	1	33603085.00	22040043006107500XXXXXX601300	REGULAR	REGULAR	START	START	1
1	FALSE	38081714.80	00290093001102500XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1	38081714.80	00290093001102500XXXXXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	46541977.80	40190013007100500040XXXXXXXXX	REGULAR	REGULAR	START	START	1	46541977.80	40190013007100500040XXXXXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32724343.60	12440064002105500XXXXXXXXX201	REGULAR	REGULAR	START	START	1	32724343.60	12440064002105500XXXXXXXXX201	REGULAR	REGULAR	START	START	1
1	FALSE	32588707.50	23310089005103500XXXXXX101300	REGULAR	REGULAR	START	START	1	32588707.50	23310089005103500XXXXXX101300	REGULAR	REGULAR	START	START	1
1	FALSE	34395825.00	01060039000108500XXXXXXXXX101	REGULAR	REGULAR	START	START	1	34395825.00	01060039000108500XXXXXXXXX101	REGULAR	REGULAR	START	START	1
1	FALSE	33079670.80	03130026001106500XXXXXXXXX500	REGULAR	REGULAR	START	START	1	33079670.80	03130026001106500XXXXXXXXX500	REGULAR	REGULAR	START	START	1
1	FALSE	33237337.00	31370076006102500XXX091XXX251	REGULAR	REGULAR	START	START	1	33237337.00	31370076006102500XXX091XXX251	REGULAR	REGULAR	START	START	1
1	FALSE	34164650.60	42000001008104500080XXXXXX151	REGULAR	REGULAR	START	START	1	34164650.60	42000001008104500080XXXXXX151	REGULAR	REGULAR	START	START	1
1	FALSE	40096977.80	20250051003109500XXXXXX201XXX	REGULAR	REGULAR	START	START	1	40096977.80	20250051003109500XXXXXX201XXX	REGULAR	REGULAR	START	START	1
1	FALSE	38317653.60	30090070002103500XXX001XXXXXX	REGULAR	REGULAR	START	START	1	38317653.60	30090070002103500XXX001XXXXXX	REGULAR	REGULAR	START	START	1
1	FALSE	32997258.20	02340020006108500XXXXXXXXX351	REGULAR	REGULAR	START	START	1	32997258.20	02340020006108500XXXXXXXXX351	REGULAR	REGULAR	START	START	1
