Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	5147325.33	3001076	REGULAR	REGULAR	START	START	1	5147325.33	3001076	REGULAR	REGULAR	START	START	1
1	FALSE	4003268.60	1049026	REGULAR	REGULAR	START	START	1	4003268.60	1049026	REGULAR	REGULAR	START	START	1
1	FALSE	3332251.60	0025051	REGULAR	REGULAR	START	START	1	3332251.60	0025051	REGULAR	REGULAR	START	START	1
1	FALSE	3345804.80	2077001	REGULAR	REGULAR	START	START	1	3345804.80	2077001	REGULAR	REGULAR	START	START	1
1	FALSE	3073259.82	1013016	REGULAR	REGULAR	START	START	1	3073259.82	1013016	REGULAR	REGULAR	START	START	1
1	FALSE	4507621.14	3065066	REGULAR	REGULAR	START	START	1	4507621.14	3065066	REGULAR	REGULAR	START	START	1
1	FALSE	3338400.40	2037041	REGULAR	REGULAR	START	START	1	3338400.40	2037041	REGULAR	REGULAR	START	START	1
1	FALSE	3413780.40	0089091	REGULAR	REGULAR	START	START	1	3413780.40	0089091	REGULAR	REGULAR	START	START	1
1	FALSE	4779136.90	3033021	ELITE	ELITE	END	START	1	4779136.90	3033021	ELITE	ELITE	END	START	1
1	FALSE	3371400.00	1081071	REGULAR	REGULAR	START	START	1	3371400.00	1081071	REGULAR	REGULAR	START	START	1
1	FALSE	3232642.77	0009046	REGULAR	REGULAR	START	START	1	3232642.77	0009046	REGULAR	REGULAR	START	START	1
1	FALSE	4525412.57	2057096	REGULAR	REGULAR	START	START	1	4525412.57	2057096	REGULAR	REGULAR	START	START	1
1	FALSE	4527645.43	2017056	REGULAR	REGULAR	START	START	1	4527645.43	2017056	REGULAR	REGULAR	START	START	1
1	FALSE	3339962.80	0069006	REGULAR	REGULAR	START	START	1	3339962.80	0069006	REGULAR	REGULAR	START	START	1
1	FALSE	3334526.40	3093031	REGULAR	REGULAR	START	START	1	3334526.40	3093031	REGULAR	REGULAR	START	START	1
1	FALSE	4522152.29	1045081	REGULAR	REGULAR	START	START	1	4522152.29	1045081	REGULAR	REGULAR	START	START	1
1	FALSE	2661421.00	3085086	REGULAR	REGULAR	START	START	1	2661421.00	3085086	REGULAR	REGULAR	START	START	1
1	FALSE	3325877.20	1037036	REGULAR	REGULAR	START	START	1	3325877.20	1037036	REGULAR	REGULAR	START	START	1
1	FALSE	3336627.60	0061061	REGULAR	REGULAR	START	START	1	3336627.60	0061061	REGULAR	REGULAR	START	START	1
1	FALSE	2640388.00	2009011	REGULAR	REGULAR	START	START	1	2640388.00	2009011	REGULAR	REGULAR	START	START	1
1	FALSE	3394926.00	1097021	REGULAR	REGULAR	START	START	1	3394926.00	1097021	REGULAR	REGULAR	START	START	1
1	FALSE	5140599.00	3049071	ELITE	ELITE	START	START	1	5140599.00	3049071	ELITE	ELITE	START	START	1
1	FALSE	3333092.80	2073046	REGULAR	REGULAR	START	START	1	3333092.80	2073046	REGULAR	REGULAR	START	START	1
1	FALSE	3340836.80	0025096	REGULAR	REGULAR	START	START	1	3340836.80	0025096	REGULAR	REGULAR	START	START	1
1	FALSE	3335044.40	1065081	REGULAR	REGULAR	START	START	1	3335044.40	1065081	REGULAR	REGULAR	START	START	1
1	FALSE	4220643.69	3017031	ELITE	ELITE	END	START	1	4220643.69	3017031	ELITE	ELITE	END	START	1
1	FALSE	4054294.80	0041006	REGULAR	REGULAR	START	START	1	4054294.80	0041006	REGULAR	REGULAR	START	START	1
1	FALSE	3387429.20	2093056	REGULAR	REGULAR	START	START	1	3387429.20	2093056	REGULAR	REGULAR	START	START	1
1	FALSE	4187204.49	3053016	ELITE	REGULAR	END	START	1	4187204.49	3053016	ELITE	REGULAR	END	START	1
1	FALSE	3334952.40	1005066	REGULAR	REGULAR	START	START	1	3334952.40	1005066	REGULAR	REGULAR	START	START	1
1	FALSE	3331299.20	2029091	REGULAR	REGULAR	START	START	1	3331299.20	2029091	REGULAR	REGULAR	START	START	1
1	FALSE	3331102.40	0077041	REGULAR	REGULAR	START	START	1	3331102.40	0077041	REGULAR	REGULAR	START	START	1
1	FALSE	3416884.17	3085006	REGULAR	REGULAR	START	START	1	3416884.17	3085006	REGULAR	REGULAR	START	START	1
1	FALSE	4530135.71	1037056	REGULAR	REGULAR	START	START	1	4530135.71	1037056	REGULAR	REGULAR	START	START	1
