Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	5147325.33	3001077	REGULAR	REGULAR	START	START	1	5147325.33	3001077	REGULAR	REGULAR	START	START	1
1	FALSE	3766172.67	1049025	REGULAR	REGULAR	START	START	1	3766172.67	1049025	REGULAR	REGULAR	START	START	1
1	FALSE	4008979.80	0025053	REGULAR	REGULAR	START	START	1	4008979.80	0025053	REGULAR	REGULAR	START	START	1
1	FALSE	3345804.80	2077001	REGULAR	REGULAR	START	START	1	3345804.80	2077001	REGULAR	REGULAR	START	START	1
1	FALSE	3573694.88	1013013	REGULAR	REGULAR	START	START	1	3573694.88	1013013	REGULAR	REGULAR	START	START	1
1	FALSE	4507621.14	3065065	REGULAR	REGULAR	START	START	1	4507621.14	3065065	REGULAR	REGULAR	START	START	1
1	FALSE	4015288.67	2037041	REGULAR	REGULAR	START	START	1	4015288.67	2037041	REGULAR	REGULAR	START	START	1
1	FALSE	3413780.40	0089089	REGULAR	REGULAR	START	START	1	3413780.40	0089089	REGULAR	REGULAR	START	START	1
1	FALSE	4726725.73	3033021	ELITE	ELITE	END	START	1	4726725.73	3033021	ELITE	ELITE	END	START	1
1	FALSE	3371400.00	1081069	REGULAR	REGULAR	START	START	1	3371400.00	1081069	REGULAR	REGULAR	START	START	1
1	FALSE	3232642.77	0009045	REGULAR	REGULAR	START	START	1	3232642.77	0009045	REGULAR	REGULAR	START	START	1
1	FALSE	4525412.57	2057097	REGULAR	REGULAR	START	START	1	4525412.57	2057097	REGULAR	REGULAR	START	START	1
1	FALSE	4527645.43	2017057	REGULAR	REGULAR	START	START	1	4527645.43	2017057	REGULAR	REGULAR	START	START	1
1	FALSE	3339962.80	0069009	REGULAR	REGULAR	START	START	1	3339962.80	0069009	REGULAR	REGULAR	START	START	1
1	FALSE	3334526.40	3093033	REGULAR	REGULAR	START	START	1	3334526.40	3093033	REGULAR	REGULAR	START	START	1
1	FALSE	4522152.29	1045085	REGULAR	REGULAR	START	START	1	4522152.29	1045085	REGULAR	REGULAR	START	START	1
1	FALSE	2661421.00	3085085	REGULAR	REGULAR	START	START	1	2661421.00	3085085	REGULAR	REGULAR	START	START	1
1	FALSE	3325877.20	1037037	REGULAR	REGULAR	START	START	1	3325877.20	1037037	REGULAR	REGULAR	START	START	1
1	FALSE	3336627.60	0061061	REGULAR	REGULAR	START	START	1	3336627.60	0061061	REGULAR	REGULAR	START	START	1
1	FALSE	2640388.00	2009013	REGULAR	REGULAR	START	START	1	2640388.00	2009013	REGULAR	REGULAR	START	START	1
1	FALSE	3394926.00	1097025	REGULAR	REGULAR	START	START	1	3394926.00	1097025	REGULAR	REGULAR	START	START	1
1	FALSE	5140599.00	3049073	ELITE	ELITE	START	START	1	5140599.00	3049073	ELITE	ELITE	START	START	1
1	FALSE	3333092.80	2073049	REGULAR	REGULAR	START	START	1	3333092.80	2073049	REGULAR	REGULAR	START	START	1
1	FALSE	3340836.80	0025097	REGULAR	REGULAR	START	START	1	3340836.80	0025097	REGULAR	REGULAR	START	START	1
1	FALSE	3335044.40	1065081	REGULAR	REGULAR	START	START	1	3335044.40	1065081	REGULAR	REGULAR	START	START	1
1	FALSE	3881014.15	3017029	ELITE	ELITE	END	START	1	3881014.15	3017029	ELITE	ELITE	END	START	1
1	FALSE	4054294.80	0041005	REGULAR	REGULAR	START	START	1	4054294.80	0041005	REGULAR	REGULAR	START	START	1
1	FALSE	3387429.20	2093053	REGULAR	REGULAR	START	START	1	3387429.20	2093053	REGULAR	REGULAR	START	START	1
1	FALSE	4361770.77	3053017	ELITE	REGULAR	END	START	1	4361770.77	3053017	ELITE	REGULAR	END	START	1
1	FALSE	3338625.00	1005069	REGULAR	REGULAR	START	START	1	3338625.00	1005069	REGULAR	REGULAR	START	START	1
1	FALSE	3331299.20	2029093	REGULAR	REGULAR	START	START	1	3331299.20	2029093	REGULAR	REGULAR	START	START	1
1	FALSE	3331102.40	0077041	REGULAR	REGULAR	START	START	1	3331102.40	0077041	REGULAR	REGULAR	START	START	1
1	FALSE	3416884.17	3085005	REGULAR	REGULAR	START	START	1	3416884.17	3085005	REGULAR	REGULAR	START	START	1
1	FALSE	4530135.71	1037057	REGULAR	REGULAR	START	START	1	4530135.71	1037057	REGULAR	REGULAR	START	START	1
1	FALSE	3341377.20	0061033	REGULAR	REGULAR	START	START	1	3341377.20	0061033	REGULAR	REGULAR	START	START	1
1	FALSE	3345767.60	2013081	REGULAR	REGULAR	START	START	1	3345767.60	2013081	REGULAR	REGULAR	START	START	1
1	FALSE	4392540.32	3025045	REGULAR	REGULAR	END	START	1	4392540.32	3025045	REGULAR	REGULAR	END	START	1
1	FALSE	3366508.00	1073093	REGULAR	REGULAR	START	START	1	3366508.00	1073093	REGULAR	REGULAR	START	START	1
