Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	3339034.20	0013001	REGULAR	REGULAR	START	START	1	3339034.20	0013001	REGULAR	REGULAR	START	START	1
1	FALSE	4526267.71	2061051	REGULAR	REGULAR	START	START	1	4526267.71	2061051	REGULAR	REGULAR	START	START	1
1	FALSE	3391041.60	1089076	REGULAR	REGULAR	START	START	1	3391041.60	1089076	REGULAR	REGULAR	START	START	1
1	FALSE	3809653.71	3037026	REGULAR	REGULAR	START	START	1	3809653.71	3037026	REGULAR	REGULAR	START	START	1
1	FALSE	3346245.20	2001086	REGULAR	REGULAR	START	START	1	3346245.20	2001086	REGULAR	REGULAR	START	START	1
1	FALSE	4540857.14	0049036	REGULAR	REGULAR	START	START	1	4540857.14	0049036	REGULAR	REGULAR	START	START	1
1	FALSE	3621885.41	3073011	REGULAR	REGULAR	END	START	1	3621885.41	3073011	REGULAR	REGULAR	END	START	1
1	FALSE	3331155.60	1025061	REGULAR	REGULAR	START	START	1	3331155.60	1025061	REGULAR	REGULAR	START	START	1
1	FALSE	4521228.86	1005031	REGULAR	REGULAR	START	START	1	4521228.86	1005031	REGULAR	REGULAR	START	START	1
1	FALSE	2577873.38	3057081	ELITE	REGULAR	END	START	1	2577873.38	3057081	ELITE	REGULAR	END	START	1
1	FALSE	4228334.41	2033006	REGULAR	REGULAR	START	START	1	4228334.41	2033006	REGULAR	REGULAR	START	START	1
1	FALSE	3363680.40	0081056	REGULAR	REGULAR	START	START	1	3363680.40	0081056	REGULAR	REGULAR	START	START	1
1	FALSE	3238991.44	1069021	REGULAR	REGULAR	START	START	1	3238991.44	1069021	REGULAR	REGULAR	START	START	1
1	FALSE	4525603.58	3017071	REGULAR	REGULAR	START	START	1	4525603.58	3017071	REGULAR	REGULAR	START	START	1
1	FALSE	4086687.60	2093046	REGULAR	REGULAR	START	START	1	4086687.60	2093046	REGULAR	REGULAR	START	START	1
1	FALSE	3245942.11	0045096	REGULAR	REGULAR	START	START	1	3245942.11	0045096	REGULAR	REGULAR	START	START	1
1	FALSE	2865023.33	0065091	REGULAR	REGULAR	START	START	1	2865023.33	0065091	REGULAR	REGULAR	START	START	1
1	FALSE	3503644.48	2017041	REGULAR	REGULAR	START	START	1	3503644.48	2017041	REGULAR	REGULAR	START	START	1
1	FALSE	2833205.87	1041016	REGULAR	REGULAR	START	START	1	2833205.87	1041016	REGULAR	REGULAR	START	START	1
1	FALSE	3343286.00	3089066	REGULAR	REGULAR	START	START	1	3343286.00	3089066	REGULAR	REGULAR	START	START	1
1	FALSE	3744243.69	3029076	REGULAR	REGULAR	START	START	1	3744243.69	3029076	REGULAR	REGULAR	START	START	1
1	FALSE	4540157.14	1077026	REGULAR	REGULAR	START	START	1	4540157.14	1077026	REGULAR	REGULAR	START	START	1
1	FALSE	3345904.80	0005051	REGULAR	REGULAR	START	START	1	3345904.80	0005051	REGULAR	REGULAR	START	START	1
1	FALSE	4262490.40	2053001	REGULAR	REGULAR	START	START	1	4262490.40	2053001	REGULAR	REGULAR	START	START	1
1	FALSE	2866453.33	1061071	REGULAR	REGULAR	START	START	1	2866453.33	1061071	REGULAR	REGULAR	START	START	1
1	FALSE	4775646.81	3009021	REGULAR	REGULAR	START	START	1	4775646.81	3009021	REGULAR	REGULAR	START	START	1
1	FALSE	4026622.60	0033046	REGULAR	REGULAR	START	START	1	4026622.60	0033046	REGULAR	REGULAR	START	START	1
1	FALSE	3385932.40	2085096	REGULAR	REGULAR	START	START	1	3385932.40	2085096	REGULAR	REGULAR	START	START	1
1	FALSE	4013201.60	2049061	REGULAR	REGULAR	START	START	1	4013201.60	2049061	REGULAR	REGULAR	START	START	1
1	FALSE	3413613.20	0097011	REGULAR	REGULAR	START	START	1	3413613.20	0097011	REGULAR	REGULAR	START	START	1
1	FALSE	4539564.29	1021086	REGULAR	REGULAR	START	START	1	4539564.29	1021086	REGULAR	REGULAR	START	START	1
1	FALSE	5185688.83	3073036	REGULAR	REGULAR	START	START	1	5185688.83	3073036	REGULAR	REGULAR	START	START	1
1	FALSE	3595006.00	3013091	REGULAR	REGULAR	START	START	1	3595006.00	3013091	REGULAR	REGULAR	START	START	1
1	FALSE	5401504.00	1065041	REGULAR	REGULAR	START	START	1	5401504.00	1065041	REGULAR	REGULAR	START	START	1
1	FALSE	3532982.92	0037066	REGULAR	REGULAR	START	START	1	3532982.92	0037066	REGULAR	REGULAR	START	START	1
1	FALSE	3435037.83	2089016	REGULAR	REGULAR	START	START	1	3435037.83	2089016	REGULAR	REGULAR	START	START	1
1	FALSE	3362117.20	0077081	REGULAR	REGULAR	START	START	1	3362117.20	0077081	REGULAR	REGULAR	START	START	1
1	FALSE	3324301.12	2025031	REGULAR	REGULAR	START	START	1	3324301.12	2025031	REGULAR	REGULAR	START	START	1
1	FALSE	3610906.78	1001006	REGULAR	REGULAR	START	START	1	3610906.78	1001006	REGULAR	REGULAR	START	START	1
1	FALSE	4943856.11	3053056	ELITE	ELITE	START	START	1	4943856.11	3053056	ELITE	ELITE	START	START	1
1	FALSE	4509830.00	3081036	REGULAR	REGULAR	START	START	1	4509830.00	3081036	REGULAR	REGULAR	START	START	1
1	FALSE	3977593.40	1033086	REGULAR	REGULAR	START	START	1	3977593.40	1033086	REGULAR	REGULAR	START	START	1
1	FALSE	4605170.27	0057011	REGULAR	REGULAR	START	START	1	4605170.27	0057011	REGULAR	REGULAR	START	START	1
1	FALSE	3329200.80	2009061	REGULAR	REGULAR	START	START	1	3329200.80	2009061	REGULAR	REGULAR	START	START	1
1	FALSE	4524392.00	0021026	REGULAR	REGULAR	START	START	1	4524392.00	0021026	REGULAR	REGULAR	START	START	1
1	FALSE	3344593.60	2069076	REGULAR	REGULAR	START	START	1	3344593.60	2069076	REGULAR	REGULAR	START	START	1
1	FALSE	3394873.20	1097051	REGULAR	REGULAR	START	START	1	3394873.20	1097051	REGULAR	REGULAR	START	START	1
1	FALSE	3961649.16	3045001	ELITE	ELITE	END	START	1	3961649.16	3045001	ELITE	ELITE	END	START	1
1	FALSE	3850118.76	2061026	REGULAR	REGULAR	START	START	1	3850118.76	2061026	REGULAR	REGULAR	START	START	1
1	FALSE	3806926.67	0013076	REGULAR	REGULAR	START	START	1	3806926.67	0013076	REGULAR	REGULAR	START	START	1
1	FALSE	4215483.19	3037051	ELITE	REGULAR	START	START	1	4215483.19	3037051	ELITE	REGULAR	START	START	1
1	FALSE	4041176.50	1085001	REGULAR	REGULAR	START	START	1	4041176.50	1085001	REGULAR	REGULAR	START	START	1
1	FALSE	3913192.85	2025016	REGULAR	REGULAR	START	START	1	3913192.85	2025016	REGULAR	REGULAR	START	START	1
1	FALSE	3337037.20	0073066	REGULAR	REGULAR	START	START	1	3337037.20	0073066	REGULAR	REGULAR	START	START	1
1	FALSE	3346474.00	3097091	REGULAR	REGULAR	START	START	1	3346474.00	3097091	REGULAR	REGULAR	START	START	1
1	FALSE	3328907.60	1049041	REGULAR	REGULAR	START	START	1	3328907.60	1049041	REGULAR	REGULAR	START	START	1
1	FALSE	3574942.38	3005046	REGULAR	REGULAR	START	START	1	3574942.38	3005046	REGULAR	REGULAR	START	START	1
1	FALSE	3337540.00	1053096	REGULAR	REGULAR	START	START	1	3337540.00	1053096	REGULAR	REGULAR	START	START	1
1	FALSE	3342173.60	2081071	REGULAR	REGULAR	START	START	1	3342173.60	2081071	REGULAR	REGULAR	START	START	1
1	FALSE	5759232.17	0029021	REGULAR	REGULAR	START	START	1	5759232.17	0029021	REGULAR	REGULAR	START	START	1
