Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	3346836.80	0013001	REGULAR	REGULAR	START	START	1	3346836.80	0013001	REGULAR	REGULAR	START	START	1
1	FALSE	4029453.50	2064052	REGULAR	REGULAR	START	START	1	4029453.50	2064052	REGULAR	REGULAR	START	START	1
1	FALSE	3402768.00	1088076	REGULAR	REGULAR	START	START	1	3402768.00	1088076	REGULAR	REGULAR	START	START	1
1	FALSE	3967660.00	3037025	REGULAR	REGULAR	START	START	1	3967660.00	3037025	REGULAR	REGULAR	START	START	1
1	FALSE	3346245.20	2001088	REGULAR	REGULAR	START	START	1	3346245.20	2001088	REGULAR	REGULAR	START	START	1
1	FALSE	4034411.67	0052040	REGULAR	REGULAR	START	START	1	4034411.67	0052040	REGULAR	REGULAR	START	START	1
1	FALSE	4507812.57	3076013	REGULAR	REGULAR	START	START	1	4507812.57	3076013	REGULAR	REGULAR	START	START	1
1	FALSE	3230989.60	1025064	REGULAR	REGULAR	START	START	1	3230989.60	1025064	REGULAR	REGULAR	START	START	1
1	FALSE	4521228.86	1006034	REGULAR	REGULAR	START	START	1	4521228.86	1006034	REGULAR	REGULAR	START	START	1
1	FALSE	2983954.59	3057082	REGULAR	REGULAR	START	START	1	2983954.59	3057082	REGULAR	REGULAR	START	START	1
1	FALSE	3983975.80	2031007	REGULAR	REGULAR	START	START	1	3983975.80	2031007	REGULAR	REGULAR	START	START	1
1	FALSE	2634682.60	0082058	REGULAR	REGULAR	START	START	1	2634682.60	0082058	REGULAR	REGULAR	START	START	1
1	FALSE	3335299.60	1070019	REGULAR	REGULAR	START	START	1	3335299.60	1070019	REGULAR	REGULAR	START	START	1
1	FALSE	4506644.86	3019070	REGULAR	REGULAR	START	START	1	4506644.86	3019070	REGULAR	REGULAR	START	START	1
1	FALSE	3396023.20	2094046	REGULAR	REGULAR	START	START	1	3396023.20	2094046	REGULAR	REGULAR	START	START	1
1	FALSE	3350866.40	0043094	REGULAR	REGULAR	START	START	1	3350866.40	0043094	REGULAR	REGULAR	START	START	1
1	FALSE	3367983.60	0067091	REGULAR	REGULAR	START	START	1	3367983.60	0067091	REGULAR	REGULAR	START	START	1
1	FALSE	3321350.00	2016043	REGULAR	REGULAR	START	START	1	3321350.00	2016043	REGULAR	REGULAR	START	START	1
1	FALSE	3335726.40	1040016	REGULAR	REGULAR	START	START	1	3335726.40	1040016	REGULAR	REGULAR	START	START	1
1	FALSE	3343286.00	3090067	REGULAR	REGULAR	START	START	1	3343286.00	3090067	REGULAR	REGULAR	START	START	1
1	FALSE	3961393.88	3028079	REGULAR	REGULAR	START	START	1	3961393.88	3028079	REGULAR	REGULAR	START	START	1
1	FALSE	4015901.50	1079028	REGULAR	REGULAR	START	START	1	4015901.50	1079028	REGULAR	REGULAR	START	START	1
1	FALSE	3307355.40	0004055	REGULAR	REGULAR	START	START	1	3307355.40	0004055	REGULAR	REGULAR	START	START	1
