Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	6052042.82	16132XXXX08412276	REGULAR	REGULAR	START	START	1	6052042.82	16132XXXX08412276	REGULAR	REGULAR	START	START	1
1	FALSE	3732397616.59	0626112XX21024632	REGULAR	REGULAR	START	START	1	3732397616.59	0626112XX21024632	REGULAR	REGULAR	START	START	1
1	FALSE	146.42	11350XX0302218454	REGULAR	REGULAR	START	START	1	146.42	11350XX0302218454	REGULAR	REGULAR	START	START	1
1	FALSE	353.51	01412XXXX14806008	REGULAR	REGULAR	START	START	1	353.51	01412XXXX14806008	REGULAR	REGULAR	START	START	1
1	FALSE	229.49	03842XXXX24015264	REGULAR	REGULAR	START	START	1	229.49	03842XXXX24015264	REGULAR	REGULAR	START	START	1
1	FALSE	522.58	13700XXXX11402820	REGULAR	REGULAR	START	START	1	522.58	13700XXXX11402820	REGULAR	REGULAR	START	START	1
1	FALSE	176714192.78	18851XX0405421642	REGULAR	REGULAR	START	START	1	176714192.78	18851XX0405421642	REGULAR	REGULAR	START	START	1
1	FALSE	711.53	08920XXXX17809088	REGULAR	REGULAR	START	START	1	711.53	08920XXXX17809088	REGULAR	REGULAR	START	START	1
1	FALSE	5067412319.01	17610XXXX00601214	REGULAR	REGULAR	START	START	1	5067412319.01	17610XXXX00601214	REGULAR	REGULAR	START	START	1
1	FALSE	431.81	07441XXXX13213860	REGULAR	REGULAR	START	START	1	431.81	07441XXXX13213860	REGULAR	REGULAR	START	START	1
1	FALSE	118.25	02621XXXX19407482	REGULAR	REGULAR	START	START	1	118.25	02621XXXX19407482	REGULAR	REGULAR	START	START	1
1	FALSE	90037567.88	14931XXXX10016848	REGULAR	REGULAR	START	START	1	90037567.88	14931XXXX10016848	REGULAR	REGULAR	START	START	1
1	FALSE	64764395.57	05002XXXX22404404	REGULAR	REGULAR	START	START	1	64764395.57	05002XXXX22404404	REGULAR	REGULAR	START	START	1
1	FALSE	10284209.35	10122XXXX03810670	REGULAR	REGULAR	START	START	1	10284209.35	10122XXXX03810670	REGULAR	REGULAR	START	START	1
1	FALSE	308.26	00250XX0216223026	REGULAR	REGULAR	START	START	1	308.26	00250XX0216223026	REGULAR	REGULAR	START	START	1
1	FALSE	712177765.00	1706004XX15403628	REGULAR	REGULAR	START	START	1	712177765.00	1706004XX15403628	REGULAR	REGULAR	START	START	1
1	FALSE	136.27	06831XXXX03016074	REGULAR	REGULAR	START	START	1	136.27	06831XXXX03016074	REGULAR	REGULAR	START	START	1
1	FALSE	21111389.71	11912XXXX21822406	REGULAR	REGULAR	START	START	1	21111389.71	11912XXXX21822406	REGULAR	REGULAR	START	START	1
1	FALSE	14839.66	02040XXXX09209850	ELITE	ELITE	START	START	1	14839.66	02040XXXX09209850	ELITE	ELITE	START	START	1
1	FALSE	11038.19	04400XXXX06219218	ELITE	ELITE	START	START	1	11038.19	04400XXXX06219218	ELITE	ELITE	START	START	1
1	FALSE	1505.91	14331XXXX18606662	REGULAR	REGULAR	START	START	1	1505.91	14331XXXX18606662	REGULAR	REGULAR	START	START	1
1	FALSE	317.36	19421XXXX24813084	REGULAR	REGULAR	START	START	1	317.36	19421XXXX24813084	REGULAR	REGULAR	START	START	1
1	FALSE	592882076.14	09552XX0412400440	REGULAR	REGULAR	START	START	1	592882076.14	09552XX0412400440	REGULAR	REGULAR	START	START	1
1	FALSE	727.66	13120XXXX14014678	REGULAR	REGULAR	START	START	1	727.66	13120XXXX14014678	REGULAR	REGULAR	START	START	1
1	FALSE	11390414.71	08301XXXX07620812	REGULAR	REGULAR	START	START	1	11390414.71	08301XXXX07620812	REGULAR	REGULAR	START	START	1
1	FALSE	2123550.21	18242XXXX20208256	REGULAR	REGULAR	START	START	1	2123550.21	18242XXXX20208256	REGULAR	REGULAR	START	START	1
1	FALSE	34238377.46	10751XX0523105222	REGULAR	REGULAR	START	START	1	34238377.46	10751XX0523105222	REGULAR	REGULAR	START	START	1
1	FALSE	10331.54	00812XXXX10817668	ELITE	ELITE	START	START	1	10331.54	00812XXXX10817668	ELITE	ELITE	START	START	1
1	FALSE	59682520.33	05630XXXX04611246	REGULAR	REGULAR	START	START	1	59682520.33	05630XXXX04611246	REGULAR	REGULAR	START	START	1
1	FALSE	165498484.30	15501XXXX17023800	REGULAR	REGULAR	START	START	1	165498484.30	15501XXXX17023800	REGULAR	REGULAR	START	START	1
