Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	6052042.82	16232XXXX08512277	REGULAR	REGULAR	START	START	1	6052042.82	16232XXXX08512277	REGULAR	REGULAR	START	START	1
1	FALSE	3732397616.59	0646112XX21024732	REGULAR	REGULAR	START	START	1	3732397616.59	0646112XX21024732	REGULAR	REGULAR	START	START	1
1	FALSE	146.42	11450XX0302318554	REGULAR	REGULAR	START	START	1	146.42	11450XX0302318554	REGULAR	REGULAR	START	START	1
1	FALSE	353.51	01412XXXX14806009	REGULAR	REGULAR	START	START	1	353.51	01412XXXX14806009	REGULAR	REGULAR	START	START	1
1	FALSE	229.49	03842XXXX24115365	REGULAR	REGULAR	START	START	1	229.49	03842XXXX24115365	REGULAR	REGULAR	START	START	1
1	FALSE	522.58	13800XXXX11502820	REGULAR	REGULAR	START	START	1	522.58	13800XXXX11502820	REGULAR	REGULAR	START	START	1
1	FALSE	176714192.78	18851XX0405421643	REGULAR	REGULAR	START	START	1	176714192.78	18851XX0405421643	REGULAR	REGULAR	START	START	1
1	FALSE	711.53	08820XXXX17909188	REGULAR	REGULAR	START	START	1	711.53	08820XXXX17909188	REGULAR	REGULAR	START	START	1
1	FALSE	5067412319.01	17610XXXX00701315	REGULAR	REGULAR	START	START	1	5067412319.01	17610XXXX00701315	REGULAR	REGULAR	START	START	1
1	FALSE	431.81	07641XXXX13213860	REGULAR	REGULAR	START	START	1	431.81	07641XXXX13213860	REGULAR	REGULAR	START	START	1
1	FALSE	118.25	02621XXXX19407582	REGULAR	REGULAR	START	START	1	118.25	02621XXXX19407582	REGULAR	REGULAR	START	START	1
1	FALSE	90037567.88	15031XXXX10116949	REGULAR	REGULAR	START	START	1	90037567.88	15031XXXX10116949	REGULAR	REGULAR	START	START	1
1	FALSE	64764395.57	05002XXXX22504404	REGULAR	REGULAR	START	START	1	64764395.57	05002XXXX22504404	REGULAR	REGULAR	START	START	1
1	FALSE	10284209.35	10022XXXX03810771	REGULAR	REGULAR	START	START	1	10284209.35	10022XXXX03810771	REGULAR	REGULAR	START	START	1
1	FALSE	308.26	00250XX0216323126	REGULAR	REGULAR	START	START	1	308.26	00250XX0216323126	REGULAR	REGULAR	START	START	1
1	FALSE	712177765.00	1706004XX15503628	REGULAR	REGULAR	START	START	1	712177765.00	1706004XX15503628	REGULAR	REGULAR	START	START	1
1	FALSE	136.27	07031XXXX03016174	REGULAR	REGULAR	START	START	1	136.27	07031XXXX03016174	REGULAR	REGULAR	START	START	1
1	FALSE	21111389.71	12012XXXX21822406	REGULAR	REGULAR	START	START	1	21111389.71	12012XXXX21822406	REGULAR	REGULAR	START	START	1
1	FALSE	14839.66	02040XXXX09309951	ELITE	ELITE	START	START	1	14839.66	02040XXXX09309951	ELITE	ELITE	START	START	1
1	FALSE	11038.19	04400XXXX06219218	ELITE	ELITE	START	START	1	11038.19	04400XXXX06219218	ELITE	ELITE	START	START	1
1	FALSE	1505.91	14431XXXX18706763	REGULAR	REGULAR	START	START	1	1505.91	14431XXXX18706763	REGULAR	REGULAR	START	START	1
1	FALSE	317.36	19421XXXX24913085	REGULAR	REGULAR	START	START	1	317.36	19421XXXX24913085	REGULAR	REGULAR	START	START	1
1	FALSE	592882076.14	09452XX0412400540	REGULAR	REGULAR	START	START	1	592882076.14	09452XX0412400540	REGULAR	REGULAR	START	START	1
1	FALSE	727.66	13220XXXX14014679	REGULAR	REGULAR	START	START	1	727.66	13220XXXX14014679	REGULAR	REGULAR	START	START	1
