Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	474.49	09432XXXX07904651	REGULAR	REGULAR	START	START	1	474.49	09432XXXX07904651	REGULAR	REGULAR	START	START	1
1	FALSE	982.20	1946012XX20417106	REGULAR	REGULAR	START	START	1	982.20	1946012XX20417106	REGULAR	REGULAR	START	START	1
1	FALSE	509.21	04451XX0201623373	REGULAR	REGULAR	START	START	1	509.21	04451XX0201623373	REGULAR	REGULAR	START	START	1
1	FALSE	550.41	14412XXXX14110828	REGULAR	REGULAR	START	START	1	550.41	14412XXXX14110828	REGULAR	REGULAR	START	START	1
1	FALSE	458.88	12041XXXX23520285	REGULAR	REGULAR	START	START	1	458.88	12041XXXX23520285	REGULAR	REGULAR	START	START	1
1	FALSE	597.98	02000XXXX11007740	REGULAR	REGULAR	START	START	1	597.98	02000XXXX11007740	REGULAR	REGULAR	START	START	1
1	FALSE	627.85	16820XXXX17201562	REGULAR	REGULAR	START	START	1	627.85	16820XXXX17201562	REGULAR	REGULAR	START	START	1
1	FALSE	387.90	15642XXXX12521879	ELITE	ELITE	START	START	1	387.90	15642XXXX12521879	ELITE	ELITE	START	START	1
1	FALSE	482.33	05811XXXX00009334	REGULAR	REGULAR	START	START	1	482.33	05811XXXX00009334	REGULAR	REGULAR	START	START	1
1	FALSE	595.45	10620XXXX18703056	REGULAR	REGULAR	START	START	1	595.45	10620XXXX18703056	REGULAR	REGULAR	START	START	1
1	FALSE	752.73	18202XXXX21912423	REGULAR	REGULAR	START	START	1	752.73	18202XXXX21912423	REGULAR	REGULAR	START	START	1
1	FALSE	580.67	08230XXXX09324968	REGULAR	REGULAR	START	START	1	580.67	08230XXXX09324968	REGULAR	REGULAR	START	START	1
1	FALSE	717.34	13251XX0315718700	REGULAR	REGULAR	START	START	1	717.34	13251XX0315718700	REGULAR	REGULAR	START	START	1
