Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	84.61	00831XXXX17122148	REGULAR	REGULAR	START	START	1	84.61	00831XXXX17122148	REGULAR	REGULAR	START	START	1
1	FALSE	50.55	05651XX0223403272	REGULAR	REGULAR	START	START	1	50.55	05651XX0223403272	REGULAR	REGULAR	START	START	1
1	FALSE	2151.42	15510XXXX10815927	ELITE	ELITE	START	START	1	2151.42	15510XXXX10815927	ELITE	ELITE	START	START	1
1	FALSE	191.43	13121XXXX07819260	REGULAR	REGULAR	START	START	1	191.43	13121XXXX07819260	REGULAR	REGULAR	START	START	1
1	FALSE	43.40	03250XX0220006515	REGULAR	REGULAR	START	START	1	43.40	03250XX0220006515	REGULAR	REGULAR	START	START	1
1	FALSE	571.62	08002XXXX14112939	REGULAR	REGULAR	START	START	1	571.62	08002XXXX14112939	REGULAR	REGULAR	START	START	1
1	FALSE	428.53	18240XXXX01500384	REGULAR	REGULAR	START	START	1	428.53	18240XXXX01500384	REGULAR	REGULAR	START	START	1
1	FALSE	42.03	14340XXXX09301887	REGULAR	REGULAR	START	START	1	42.03	14340XXXX09301887	REGULAR	REGULAR	START	START	1
1	FALSE	106.49	04411XXXX21914442	REGULAR	REGULAR	START	START	1	106.49	04411XXXX21914442	REGULAR	REGULAR	START	START	1
1	FALSE	3401.55	0956010XX15608121	REGULAR	REGULAR	START	START	1	3401.55	0956010XX15608121	REGULAR	REGULAR	START	START	1
1	FALSE	1402.72	19422XXXX03020665	REGULAR	REGULAR	START	START	1	1402.72	19422XXXX03020665	REGULAR	REGULAR	START	START	1
1	FALSE	13.87	06820XXXX18623754	REGULAR	REGULAR	START	START	1	13.87	06820XXXX18623754	REGULAR	REGULAR	START	START	1
1	FALSE	2055.90	16752XX0206311009	REGULAR	REGULAR	START	START	1	2055.90	16752XX0206311009	REGULAR	REGULAR	START	START	1
1	FALSE	58.04	02032XXXX12305178	REGULAR	REGULAR	START	START	1	58.04	02032XXXX12305178	REGULAR	REGULAR	START	START	1
1	FALSE	584.29	11901XXXX00017432	REGULAR	REGULAR	START	START	1	584.29	11901XXXX00017432	REGULAR	REGULAR	START	START	1
1	FALSE	2429.58	13702XXXX16207242	REGULAR	REGULAR	START	START	1	2429.58	13702XXXX16207242	REGULAR	REGULAR	START	START	1
1	FALSE	38.24	03841XXXX03919887	REGULAR	REGULAR	START	START	1	38.24	03841XXXX03919887	REGULAR	REGULAR	START	START	1
1	FALSE	1395.50	1886004XX22513518	REGULAR	REGULAR	START	START	1	1395.50	1886004XX22513518	REGULAR	REGULAR	START	START	1
1	FALSE	1111.27	08922XXXX10201263	REGULAR	REGULAR	START	START	1	1111.27	08922XXXX10201263	REGULAR	REGULAR	START	START	1
1	FALSE	49.29	01400XXXX06910530	REGULAR	REGULAR	START	START	1	49.29	01400XXXX06910530	REGULAR	REGULAR	START	START	1
1	FALSE	1859.39	11331XXXX19523175	ELITE	ELITE	START	START	1	1859.39	11331XXXX19523175	ELITE	ELITE	START	START	1
1	FALSE	768.03	06252XX0500616806	REGULAR	REGULAR	START	START	1	768.03	06252XX0500616806	REGULAR	REGULAR	START	START	1
1	FALSE	315.83	16111XXXX13104251	REGULAR	REGULAR	START	START	1	315.83	16111XXXX13104251	REGULAR	REGULAR	START	START	1
1	FALSE	556.44	12551XX0214715012	REGULAR	REGULAR	START	START	1	556.44	12551XX0214715012	REGULAR	REGULAR	START	START	1
1	FALSE	203.66	02622XXXX02402756	REGULAR	REGULAR	START	START	1	203.66	02622XXXX02402756	REGULAR	REGULAR	START	START	1
1	FALSE	790.10	07430XXXX08421381	REGULAR	REGULAR	START	START	1	790.10	07430XXXX08421381	REGULAR	REGULAR	START	START	1
1	FALSE	3143.50	17602XXXX21008936	REGULAR	REGULAR	START	START	1	3143.50	17602XXXX21008936	REGULAR	REGULAR	START	START	1
1	FALSE	190.21	10130XXXX24005644	REGULAR	REGULAR	START	START	1	190.21	10130XXXX24005644	REGULAR	REGULAR	START	START	1
1	FALSE	1907.45	14942XXXX17924669	ELITE	ELITE	START	START	1	1907.45	14942XXXX17924669	ELITE	ELITE	START	START	1
1	FALSE	91.46	05010XXXX05412024	REGULAR	REGULAR	START	START	1	91.46	05010XXXX05412024	REGULAR	REGULAR	START	START	1
1	FALSE	57.97	09810XXXX12918609	REGULAR	REGULAR	START	START	1	57.97	09810XXXX12918609	REGULAR	REGULAR	START	START	1
1	FALSE	905.73	19741XXXX00306354	REGULAR	REGULAR	START	START	1	905.73	19741XXXX00306354	REGULAR	REGULAR	START	START	1
1	FALSE	72.40	14620XXXX06512375	REGULAR	REGULAR	START	START	1	72.40	14620XXXX06512375	REGULAR	REGULAR	START	START	1
1	FALSE	131.57	12250XX0503203042	REGULAR	REGULAR	START	START	1	131.57	12250XX0503203042	REGULAR	REGULAR	START	START	1
1	FALSE	45.77	02312XXXX15915687	REGULAR	REGULAR	START	START	1	45.77	02312XXXX15915687	REGULAR	REGULAR	START	START	1
1	FALSE	2300.84	17302XXXX09621921	REGULAR	REGULAR	START	START	1	2300.84	17302XXXX09621921	REGULAR	REGULAR	START	START	1
1	FALSE	60.59	07131XXXX22109365	REGULAR	REGULAR	START	START	1	60.59	07131XXXX22109365	REGULAR	REGULAR	START	START	1
1	FALSE	307.59	11012XXXX01823415	REGULAR	REGULAR	START	START	1	307.59	11012XXXX01823415	REGULAR	REGULAR	START	START	1
1	FALSE	38.98	01140XXXX14410860	REGULAR	REGULAR	START	START	1	38.98	01140XXXX14410860	REGULAR	REGULAR	START	START	1
1	FALSE	3074.90	1586119XX08104436	REGULAR	REGULAR	START	START	1	3074.90	1586119XX08104436	REGULAR	REGULAR	START	START	1
1	FALSE	40.65	05932XXXX20617181	REGULAR	REGULAR	START	START	1	40.65	05932XXXX20617181	REGULAR	REGULAR	START	START	1
1	FALSE	155.29	03501XXXX23720003	REGULAR	REGULAR	START	START	1	155.29	03501XXXX23720003	REGULAR	REGULAR	START	START	1
1	FALSE	287.79	13442XXXX11007848	REGULAR	REGULAR	START	START	1	287.79	13442XXXX11007848	REGULAR	REGULAR	START	START	1
1	FALSE	343.69	08351XX0817401524	REGULAR	REGULAR	START	START	1	343.69	08351XX0817401524	REGULAR	REGULAR	START	START	1
1	FALSE	55.28	18520XXXX05114169	REGULAR	REGULAR	START	START	1	55.28	18520XXXX05114169	REGULAR	REGULAR	START	START	1
1	FALSE	55.20	15231XXXX15310278	REGULAR	REGULAR	START	START	1	55.20	15231XXXX15310278	REGULAR	REGULAR	START	START	1
1	FALSE	4718.58	0536013XX02722532	REGULAR	REGULAR	START	START	1	4718.58	0536013XX02722532	REGULAR	REGULAR	START	START	1
1	FALSE	77.74	10451XX0821316256	REGULAR	REGULAR	START	START	1	77.74	10451XX0821316256	REGULAR	REGULAR	START	START	1
1	FALSE	85.15	00512XXXX08903912	REGULAR	REGULAR	START	START	1	85.15	00512XXXX08903912	REGULAR	REGULAR	START	START	1
1	FALSE	164.81	07721XXXX12006965	REGULAR	REGULAR	START	START	1	164.81	07721XXXX12006965	REGULAR	REGULAR	START	START	1
1	FALSE	79.68	02942XXXX05613144	REGULAR	REGULAR	START	START	1	79.68	02942XXXX05613144	REGULAR	REGULAR	START	START	1
1	FALSE	93.69	12800XXXX18200600	REGULAR	REGULAR	START	START	1	93.69	12800XXXX18200600	REGULAR	REGULAR	START	START	1
1	FALSE	99.46	11622XXXX23111784	REGULAR	REGULAR	START	START	1	99.46	11622XXXX23111784	REGULAR	REGULAR	START	START	1
1	FALSE	1955.13	01750XX0810524039	ELITE	ELITE	START	START	1	1955.13	01750XX0810524039	ELITE	ELITE	START	START	1
1	FALSE	503.13	06501XXXX04205418	REGULAR	REGULAR	START	START	1	503.13	06501XXXX04205418	REGULAR	REGULAR	START	START	1
1	FALSE	93.91	16430XXXX16817963	REGULAR	REGULAR	START	START	1	93.91	16430XXXX16817963	REGULAR	REGULAR	START	START	1
1	FALSE	5478.07	1406113XX13521027	REGULAR	REGULAR	START	START	1	5478.07	1406113XX13521027	REGULAR	REGULAR	START	START	1
1	FALSE	54.57	04120XXXX01208472	REGULAR	REGULAR	START	START	1	54.57	04120XXXX01208472	REGULAR	REGULAR	START	START	1
1	FALSE	74.11	09242XXXX07214751	REGULAR	REGULAR	START	START	1	74.11	09242XXXX07214751	REGULAR	REGULAR	START	START	1
1	FALSE	826.68	19111XXXX19802406	REGULAR	REGULAR	START	START	1	826.68	19111XXXX19802406	REGULAR	REGULAR	START	START	1
1	FALSE	99.08	01441XXXX03007824	REGULAR	REGULAR	START	START	1	99.08	01441XXXX03007824	REGULAR	REGULAR	START	START	1
1	FALSE	1931.39	11310XXXX15320469	ELITE	ELITE	START	START	1	1931.39	11310XXXX15320469	ELITE	ELITE	START	START	1
1	FALSE	799.64	06520XXXX08914100	REGULAR	REGULAR	START	START	1	799.64	06520XXXX08914100	REGULAR	REGULAR	START	START	1
1	FALSE	67.31	03802XXXX12323478	REGULAR	REGULAR	START	START	1	67.31	03802XXXX12323478	REGULAR	REGULAR	START	START	1
