Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	84.61	00831XXXX17222350	REGULAR	REGULAR	START	START	1	84.61	00831XXXX17222350	REGULAR	REGULAR	START	START	1
1	FALSE	50.55	05851XX0323503573	REGULAR	REGULAR	START	START	1	50.55	05851XX0323503573	REGULAR	REGULAR	START	START	1
1	FALSE	2151.42	15610XXXX11016028	ELITE	ELITE	START	START	1	2151.42	15610XXXX11016028	ELITE	ELITE	START	START	1
1	FALSE	191.43	13221XXXX07819261	REGULAR	REGULAR	START	START	1	191.43	13221XXXX07819261	REGULAR	REGULAR	START	START	1
1	FALSE	43.40	03250XX0420206716	REGULAR	REGULAR	START	START	1	43.40	03250XX0420206716	REGULAR	REGULAR	START	START	1
1	FALSE	571.62	08202XXXX14112939	REGULAR	REGULAR	START	START	1	571.62	08202XXXX14112939	REGULAR	REGULAR	START	START	1
1	FALSE	428.53	18240XXXX01600484	REGULAR	REGULAR	START	START	1	428.53	18240XXXX01600484	REGULAR	REGULAR	START	START	1
1	FALSE	42.03	14440XXXX09302089	REGULAR	REGULAR	START	START	1	42.03	14440XXXX09302089	REGULAR	REGULAR	START	START	1
1	FALSE	106.49	04411XXXX21914544	REGULAR	REGULAR	START	START	1	106.49	04411XXXX21914544	REGULAR	REGULAR	START	START	1
1	FALSE	3401.55	0946011XX15608222	REGULAR	REGULAR	START	START	1	3401.55	0946011XX15608222	REGULAR	REGULAR	START	START	1
1	FALSE	1402.72	19422XXXX03120667	REGULAR	REGULAR	START	START	1	1402.72	19422XXXX03120667	REGULAR	REGULAR	START	START	1
1	FALSE	13.87	07020XXXX18723756	REGULAR	REGULAR	START	START	1	13.87	07020XXXX18723756	REGULAR	REGULAR	START	START	1
1	FALSE	2055.90	16852XX0206311211	REGULAR	REGULAR	START	START	1	2055.90	16852XX0206311211	REGULAR	REGULAR	START	START	1
1	FALSE	58.04	02032XXXX12505178	REGULAR	REGULAR	START	START	1	58.04	02032XXXX12505178	REGULAR	REGULAR	START	START	1
1	FALSE	584.29	12001XXXX00017633	REGULAR	REGULAR	START	START	1	584.29	12001XXXX00017633	REGULAR	REGULAR	START	START	1
1	FALSE	2429.58	13802XXXX16407442	REGULAR	REGULAR	START	START	1	2429.58	13802XXXX16407442	REGULAR	REGULAR	START	START	1
1	FALSE	38.24	03841XXXX03919987	REGULAR	REGULAR	START	START	1	38.24	03841XXXX03919987	REGULAR	REGULAR	START	START	1
1	FALSE	1395.50	1886005XX22713719	REGULAR	REGULAR	START	START	1	1395.50	1886005XX22713719	REGULAR	REGULAR	START	START	1
