Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	152170.59	00252XX0210005025	REGULAR	REGULAR	START	START	1	152170.59	00252XX0210005025	REGULAR	REGULAR	START	START	1
1	FALSE	929213.91	10210XXXX22517575	REGULAR	REGULAR	START	START	1	929213.91	10210XXXX22517575	REGULAR	REGULAR	START	START	1
1	FALSE	16511.19	05200XXXX02512500	REGULAR	REGULAR	START	START	1	16511.19	05200XXXX02512500	REGULAR	REGULAR	START	START	1
1	FALSE	152131732.95	15231XXXX15000050	REGULAR	REGULAR	START	START	1	152131732.95	15231XXXX15000050	REGULAR	REGULAR	START	START	1
1	FALSE	3953559765.06	1276004XX12507525	REGULAR	REGULAR	START	START	1	3953559765.06	1276004XX12507525	REGULAR	REGULAR	START	START	1
1	FALSE	47201.82	02722XXXX00020075	REGULAR	REGULAR	START	START	1	47201.82	02722XXXX00020075	REGULAR	REGULAR	START	START	1
1	FALSE	1269857048.53	17712XXXX17515000	REGULAR	REGULAR	START	START	1	1269857048.53	17712XXXX17515000	REGULAR	REGULAR	START	START	1
1	FALSE	11025581.33	07741XXXX05002550	REGULAR	REGULAR	START	START	1	11025581.33	07741XXXX05002550	REGULAR	REGULAR	START	START	1
1	FALSE	419349.06	02740XXXX05005050	REGULAR	REGULAR	START	START	1	419349.06	02740XXXX05005050	REGULAR	REGULAR	START	START	1
1	FALSE	2651811108.49	12702XXXX17517500	REGULAR	REGULAR	START	START	1	2651811108.49	12702XXXX17517500	REGULAR	REGULAR	START	START	1
1	FALSE	941523462.79	17751XX0222510025	REGULAR	REGULAR	START	START	1	941523462.79	17751XX0222510025	REGULAR	REGULAR	START	START	1
1	FALSE	104516.36	07722XXXX10022550	REGULAR	REGULAR	START	START	1	104516.36	07722XXXX10022550	REGULAR	REGULAR	START	START	1
1	FALSE	5220021094.30	0526104XX00007525	REGULAR	REGULAR	START	START	1	5220021094.30	0526104XX00007525	REGULAR	REGULAR	START	START	1
1	FALSE	633560685.46	15230XXXX12520075	REGULAR	REGULAR	START	START	1	633560685.46	15230XXXX12520075	REGULAR	REGULAR	START	START	1
1	FALSE	246914.37	00211XXXX07512500	REGULAR	REGULAR	START	START	1	246914.37	00211XXXX07512500	REGULAR	REGULAR	START	START	1
