Run	Path	Fitness1	Solution1	Elite1	Original_Elite1	Type1	Original_Type1	Iteration1	Fitness2	Solution2	Elite2	Original_Elite2	Type2	Original_Type2	Iteration2
1	FALSE	2075883.05	00252XX0210005075	REGULAR	REGULAR	START	START	1	2075883.05	00252XX0210005075	REGULAR	REGULAR	START	START	1
1	FALSE	2899317.01	10211XXXX22517525	REGULAR	REGULAR	START	START	1	2899317.01	10211XXXX22517525	REGULAR	REGULAR	START	START	1
1	FALSE	443740.86	05200XXXX05012550	ELITE	ELITE	START	START	1	443740.86	05200XXXX05012550	ELITE	ELITE	START	START	1
1	FALSE	288526191.13	15232XXXX17500000	REGULAR	REGULAR	START	START	1	288526191.13	15232XXXX17500000	REGULAR	REGULAR	START	START	1
1	FALSE	50354300.98	07741XXXX07502500	REGULAR	REGULAR	START	START	1	50354300.98	07741XXXX07502500	REGULAR	REGULAR	START	START	1
1	FALSE	65582007.61	17702XXXX20015025	REGULAR	REGULAR	START	START	1	65582007.61	17702XXXX20015025	REGULAR	REGULAR	START	START	1
1	FALSE	44806634.01	1276004XX12510050	REGULAR	REGULAR	START	START	1	44806634.01	1276004XX12510050	REGULAR	REGULAR	START	START	1
1	FALSE	2492566.57	02721XXXX00022500	REGULAR	REGULAR	START	START	1	2492566.57	02721XXXX00022500	REGULAR	REGULAR	START	START	1
1	FALSE	16086966.06	15230XXXX12520025	REGULAR	REGULAR	START	START	1	16086966.06	15230XXXX12520025	REGULAR	REGULAR	START	START	1
1	FALSE	59719034.04	10242XXXX17502500	REGULAR	REGULAR	START	START	1	59719034.04	10242XXXX17502500	REGULAR	REGULAR	START	START	1
1	FALSE	1151232.66	00211XXXX05015050	REGULAR	REGULAR	START	START	1	1151232.66	00211XXXX05015050	REGULAR	REGULAR	START	START	1
1	FALSE	5282103.78	12701XXXX15017550	REGULAR	REGULAR	START	START	1	5282103.78	12701XXXX15017550	REGULAR	REGULAR	START	START	1
1	FALSE	338136977.08	02730XXXX02505000	REGULAR	REGULAR	START	START	1	338136977.08	02730XXXX02505000	REGULAR	REGULAR	START	START	1
1	FALSE	40238006.77	07722XXXX07522525	REGULAR	REGULAR	START	START	1	40238006.77	07722XXXX07522525	REGULAR	REGULAR	START	START	1
1	FALSE	924318.76	17750XX0220010050	ELITE	ELITE	START	START	1	924318.76	17750XX0220010050	ELITE	ELITE	START	START	1
1	FALSE	21808978.77	05232XXXX22520000	REGULAR	REGULAR	START	START	1	21808978.77	05232XXXX22520000	REGULAR	REGULAR	START	START	1
1	FALSE	8322498.94	15201XXXX10007550	REGULAR	REGULAR	START	START	1	8322498.94	15201XXXX10007550	REGULAR	REGULAR	START	START	1
1	FALSE	1785692.19	00210XXXX17500025	REGULAR	REGULAR	START	START	1	1785692.19	00210XXXX17500025	REGULAR	REGULAR	START	START	1
1	FALSE	4221102.64	10251XX1005012575	REGULAR	REGULAR	START	START	1	4221102.64	10251XX1005012575	REGULAR	REGULAR	START	START	1
1	FALSE	3579055.07	17740XXXX02522500	REGULAR	REGULAR	START	START	1	3579055.07	17740XXXX02522500	REGULAR	REGULAR	START	START	1
1	FALSE	4159867.52	07712XXXX15010025	REGULAR	REGULAR	START	START	1	4159867.52	07712XXXX15010025	REGULAR	REGULAR	START	START	1
1	FALSE	261416925.72	12722XXXX07505025	REGULAR	REGULAR	START	START	1	261416925.72	12722XXXX07505025	REGULAR	REGULAR	START	START	1
1	FALSE	165149185.72	0276104XX20017550	REGULAR	REGULAR	START	START	1	165149185.72	0276104XX20017550	REGULAR	REGULAR	START	START	1
1	FALSE	7498091.24	10210XXXX00005050	REGULAR	REGULAR	START	START	1	7498091.24	10210XXXX00005050	REGULAR	REGULAR	START	START	1
1	FALSE	660883.03	00251XX0212517500	ELITE	ELITE	START	START	1	660883.03	00251XX0212517500	ELITE	ELITE	START	START	1
1	FALSE	22810009.35	05230XXXX17500025	REGULAR	REGULAR	START	START	1	22810009.35	05230XXXX17500025	REGULAR	REGULAR	START	START	1
1	FALSE	25279310.73	12741XXXX10020000	REGULAR	REGULAR	START	START	1	25279310.73	12741XXXX10020000	REGULAR	REGULAR	START	START	1
1	FALSE	956860.36	02702XXXX22507550	REGULAR	REGULAR	START	START	1	956860.36	02702XXXX22507550	REGULAR	REGULAR	START	START	1
1	FALSE	1544058.31	07750XX0215015075	REGULAR	REGULAR	START	START	1	1544058.31	07750XX0215015075	REGULAR	REGULAR	START	START	1
1	FALSE	272656723.82	17721XXXX02502525	REGULAR	REGULAR	START	START	1	272656723.82	17721XXXX02502525	REGULAR	REGULAR	START	START	1
1	FALSE	359564311.26	1026104XX02520050	REGULAR	REGULAR	START	START	1	359564311.26	1026104XX02520050	REGULAR	REGULAR	START	START	1
1	FALSE	5822007.89	00232XXXX15007500	REGULAR	REGULAR	START	START	1	5822007.89	00232XXXX15007500	REGULAR	REGULAR	START	START	1
1	FALSE	2759797.62	05240XXXX22512525	REGULAR	REGULAR	START	START	1	2759797.62	05240XXXX22512525	REGULAR	REGULAR	START	START	1
1	FALSE	6070276.71	15211XXXX10000075	REGULAR	REGULAR	START	START	1	6070276.71	15211XXXX10000075	REGULAR	REGULAR	START	START	1
1	FALSE	3900750.36	07701XXXX12502575	REGULAR	REGULAR	START	START	1	3900750.36	07701XXXX12502575	REGULAR	REGULAR	START	START	1
1	FALSE	4056608.81	17742XXXX00015025	REGULAR	REGULAR	START	START	1	4056608.81	17742XXXX00015025	REGULAR	REGULAR	START	START	1
1	FALSE	3500225.16	02752XX0220022550	REGULAR	REGULAR	START	START	1	3500225.16	02752XX0220022550	REGULAR	REGULAR	START	START	1
1	FALSE	19517317.15	12720XXXX07510000	REGULAR	REGULAR	START	START	1	19517317.15	12720XXXX07510000	REGULAR	REGULAR	START	START	1
1	FALSE	2622101.01	05211XXXX20005000	REGULAR	REGULAR	START	START	1	2622101.01	05211XXXX20005000	REGULAR	REGULAR	START	START	1
1	FALSE	1102093.81	15250XX0207517550	ELITE	ELITE	START	START	1	1102093.81	15250XX0207517550	ELITE	ELITE	START	START	1
1	FALSE	44549026.04	10202XXXX02500050	REGULAR	REGULAR	START	START	1	44549026.04	10202XXXX02500050	REGULAR	REGULAR	START	START	1
1	FALSE	335385.83	00230XXXX15012525	REGULAR	REGULAR	START	START	1	335385.83	00230XXXX15012525	REGULAR	REGULAR	START	START	1
